Tienda,Nombre,Provincia,Direccion,Formato,Distrito,Distrital
1086,Formosa II,Formosa,RRXQ+HG Formosa,HCH,NEA,Horacio Tupponi
1087,Pilar,GBA,H427+GJ Pilar,SCH,BS AS OESTE/ NORTE,Ricardo Masilo
1088,Tuc. Concepción,Tucumán,JCX6+W7 Concepción,HCH,NOA,Luciano Budman
1092,San Juan Norte,San Juan,FFQ3+FM San Juan,HCH,CUYO,Adrian Vinagre
1093,Comodoro Rivadavia Norte,Chubut,5GFM+8G Comodoro Rivadavia,HCH,PATAGONIA,Rafael Ghirardi
1096,Caseros,GBA,9CVV+6V Caseros,CH,BS AS SUR / NORTE,Ariel Konaszcuk
1097,Donato Alvarez (CDB),Córdoba,MPGJ+FG Córdoba,HCH,CENTRO,TBD
1098,R.S. Peña,Chaco,6G5W+FW Sáenz Peña,HCH,NEA,Horacio Tupponi
1099,Posadas II,Misiones,H3F9+W2 Posadas,HCH,NEA,Horacio Tupponi
1100,Santa Rosa (La Pampa) II,La Pampa,9M7P+X3 Santa Rosa,HCH,SUR + LA PAMPA,Sebastian Martinelli
1106,Tuc. Ejército Del Norte,Tucumán,6Q4G+85 San Miguel de Tucumán,HCH,NOA,Luciano Budman
1108,Puerto Madryn,Chubut,6X88+2C Puerto Madryn,HCH,PATAGONIA,Rafael Ghirardi
1110,Claypole,GBA,5MR4+7C Don Orione,CH,BS AS SUR / NORTE,Ariel Konaszcuk
1111,San Pedro de Jujuy,Jujuy,Q4FQ+WV San Pedro de Jujuy,HCH,NOA,Luciano Budman
1114,Clorinda,Formosa,P77G+2C Clorinda,HCH,NEA,Horacio Tupponi
1115,General Roca,Rio Negro,XC66+VC Gral. Roca,HCH,PATAGONIA,Rafael Ghirardi
1116,Moron,GBA,896F+9G Morón,CH,BS AS OESTE/ NORTE,Ricardo Masilo
1119,Moreno Derqui,GBA,F672+HM Cuartel V,CH,BS AS OESTE/ NORTE,Ricardo Masilo
2997,Grafa,CABA,CFGV+7G Buenos Aires,HCH,BS AS SUR / NORTE,Ariel Konaszcuk
2998,San Justo,GBA,8C7V+HJ San Justo,HCH,BS AS OESTE/ NORTE,Ricardo Masilo
2999,Avellaneda,GBA,8JGJ+6Q Avellaneda,HCH,BS AS SUR / NORTE,Ariel Konaszcuk
3601,La Plata,Buenos Aires,4X5X+7P Gonnet,HCH,BS AS SUR / NORTE,Ariel Konaszcuk
3602,Bahía Blanca,Buenos Aires,8Q79+V7 Bahía Blanca,HCH,SUR + LA PAMPA,Sebastian Martinelli
3603,Santa Fe,Santa Fe,985V+6C Santa Fe de la Vera Cruz,HCH,CENTRO,TBD
3604,Paraná,Entre Rios,7FH2+RV Paraná,HCH,CENTRO,TBD
3605,Córdoba Oeste,Córdoba,JP3R+X7 Córdoba,HCH,CENTRO,TBD
3606,Córdoba Este,Córdoba,JR5R+CM Córdoba,HCH,CENTRO,TBD
3608,Neuquén,Neuquén,2XQ5+QJ Neuquén,SCH,PATAGONIA,Rafael Ghirardi
3613,Mendoza (Guaymallén),Mendoza,35MF+MM Mendoza,SCH,CUYO,Adrian Vinagre
4001,Campana,Buenos Aires,Urquiza 50 Campana,SCH,BS AS OESTE/ NORTE,Ricardo Masilo
999,Prueba,Buenos Aires,,Prueba Formato,Prueba Distrito,Klobouk
